Source,Target,Types,Weight
Sättelstädt,Telfs Schlossbichl,BS E,1
Sättelstädt,Salzburg Stadt,BS E,1
Sättelstädt,Salzburg,BS E,2
Sättelstädt,Karlstein,BS E,1
Sättelstädt,Cífer-Pác,BS E,2
Sättelstädt,Třísov,BS E,1
Sättelstädt,Mainburg,BS E,1
Sättelstädt,Oberpöring,BS E,2
Sättelstädt,Aholming,BS E,1
Sättelstädt,Alttiefenweg,BS E,1
Sättelstädt,Haunersdorf,BS E,2
Sättelstädt,Moos,BS E,1
Sättelstädt,Pankofen,BS E,2
Sättelstädt,Langenisarhofen,BS E,1
Sättelstädt,Gilsenöd,BS E,2
Titelberg,Manching,BS E,1
Titelberg,Dorfen Niederham,BS E,1
Titelberg,Langenpreising Zustorf,BS E,1
Titelberg,Telfs Schlossbichl,BS E,1
Titelberg,Salzburg Stadt,BS E,1
Titelberg,Salzburg,BS E,1
Titelberg,Karlstein,BS E,1
Titelberg,Cífer-Pác,BS E,1
Titelberg,Třísov,BS E,1
Titelberg,Mainburg,BS E,1
Titelberg,Oberpöring,BS E,1
Titelberg,Aholming,BS E,1
Titelberg,Alttiefenweg,BS E,1
Titelberg,Haunersdorf,BS E,1
Titelberg,Moos,BS E,1
Titelberg,Pankofen,BS E,1
Titelberg,Langenisarhofen,BS E,1
Titelberg,Gilsenöd,BS E,1
Manching,Dorfen Niederham,BS E,1
Manching,Langenpreising Zustorf,BS E,1
Manching,Telfs Schlossbichl,BS E,1
Manching,Salzburg Stadt,BS E,1
Manching,Salzburg,BS E,2
Manching,Karlstein,BS E,1
Manching,Cífer-Pác,BS E,2
Manching,Třísov,BS E,1
Manching,Mainburg,BS E,1
Manching,Oberpöring,BS E,55
Manching,Aholming,BS E,1
Manching,Alttiefenweg,BS E,1
Manching,Haunersdorf,BS E,3
Manching,Moos,BS E,1
Manching,Pankofen,BS E,2
Manching,Langenisarhofen,BS E,1
Manching,Gilsenöd,BS E,2
Dorfen Niederham,Langenpreising Zustorf,BS E,1
Dorfen Niederham,Telfs Schlossbichl,BS E,1
Dorfen Niederham,Salzburg Stadt,BS E,1
Dorfen Niederham,Salzburg,BS E,1
Dorfen Niederham,Karlstein,BS E,1
Dorfen Niederham,Cífer-Pác,BS E,1
Dorfen Niederham,Třísov,BS E,1
Dorfen Niederham,Mainburg,BS E,1
Dorfen Niederham,Oberpöring,BS E,1
Dorfen Niederham,Aholming,BS E,1
Dorfen Niederham,Alttiefenweg,BS E,1
Dorfen Niederham,Haunersdorf,BS E,1
Dorfen Niederham,Moos,BS E,1
Dorfen Niederham,Pankofen,BS E,1
Dorfen Niederham,Langenisarhofen,BS E,1
Dorfen Niederham,Gilsenöd,BS E,1
Langenpreising Zustorf,Telfs Schlossbichl,BS E,1
Langenpreising Zustorf,Salzburg Stadt,BS E,1
Langenpreising Zustorf,Salzburg,BS E,1
Langenpreising Zustorf,Karlstein,BS E,1
Langenpreising Zustorf,Cífer-Pác,BS E,1
Langenpreising Zustorf,Třísov,BS E,1
Langenpreising Zustorf,Mainburg,BS E,1
Langenpreising Zustorf,Oberpöring,BS E,1
Langenpreising Zustorf,Aholming,BS E,1
Langenpreising Zustorf,Alttiefenweg,BS E,1
Langenpreising Zustorf,Haunersdorf,BS E,1
Langenpreising Zustorf,Moos,BS E,1
Langenpreising Zustorf,Pankofen,BS E,1
Langenpreising Zustorf,Langenisarhofen,BS E,1
Langenpreising Zustorf,Gilsenöd,BS E,1
